Lead_ID,Lead_Date,Industry,State,Employee_Count,Lead_Source,Campaign_Type,Sales_Rep_Interactions,Previous_Interactions,Days_Since_Last_Interaction,Website_Visits,Pages_Viewed,Email_Opens,Email_Clicks,Content_Downloads,Demo_Attended,Estimated_Budget,Estimated_Deal_Value,Decision_Maker,Contact_Requests,Product_Page_Visits,Trial_Started,Converted,Conversion_Date
L000270,7/28/2025,Telecommunications,Maharashtra,13,Email Campaign,Webinar,1,3,48,1,0,5,1,1,No,53000,80000,No,0,0,Yes,0,
L018823,8/24/2024,Professional Services,Punjab,4,Referral,Webinar,4,9,42,227,60,8,1,4,Yes,46000,30000,Yes,0,9,No,1,10/23/2024
L007853,2/8/2026,Telecommunications,Punjab,133,Website, Webinar,1,0,44,6,19,11,2,0,Yes,,115000,Yes,0,3,No,1,30/03/2026
L003056,8/29/2024,Financial Services,Delhi,31,linkedin,Content Marketing,4,9,33,8,21,5,0,2,Yes,,60000,No,0,3,No,1,10/5/2024
L004806,8/28/2024,Telecommunications,Telangana,222,LinkedIn,Webinar,2,4,23,26,42,10,1,6,Yes,167000,255000,No,0,5,No,1,10/1/2024
L002154,9/7/2025,Telecommunications,Punjab,25,Website,Content Marketing,9,13,4,32,79,,1,4,Yes,58000,60000,Yes,2,11,No,1,10/1/2025
L007366,7/15/2026,Real Estate,Madhya Pradesh,17,Google Ads,Webinar,0,1,39,6,11,9,1,1,No,49000,70000,Yes,0,2,No,0,9/21/2026
L004421,9/7/2024,Healthcare,Uttar Pradesh,19,Webinar,Product Demo,4,5,26,1,0,10,3,0,No,52000,60000,No,0,0,Yes,0,
L019358,4/5/2026,Healthcare,Haryana,10,Website,Webinar,,2,45,22,54,8,2,4,No,49000,65000,No,1,8,No,0,
L004110,10/10/2024,Retail,Odisha,87,Email Campaign,Free Trial,4,1,33,8,20,8,1,1,No,79000,100000,No,0,2,No,1,12/10/2024
L014774,8/30/2026,Real Estate,West Bengal,6,Website,Content Marketing,4,10,40,,43,6,2,3,Yes,47000,65000,Yes,0,4,No,1,10/3/2026
L006231,8/28/2026,Manufacturing,Kerala,80,Partner,Content Marketing,2,4,43,13,42,8,3,0,No,88000,65000,No,1,4,No,0,
L018150,2/17/2025,Manufacturing,Karnataka,136,Google Ads,Webinar,5,11,2,23,58,10,1,5,Yes,129000,180000,No,0,13,No,1,3/14/2025
L003480,1/31/2025,Manufacturing,Uttar Pradesh,45,LinkedIn,Product Demo,1,5,40,4,10,8,2,1,No,79000,55000,No,0,1,No,0,
L017106,5/23/2026,Healthcare,Tamil Nadu,109,LinkedIn,Webinar,6,10,5,46,118,11,5,9,Yes,100000,85000,Yes,0,7,Yes,1,6/16/2026
L018493,4/20/2024,Retail,Andhra Pradesh,15,Website,Free Trial,3,7,47,27,53,7,1,4,No,49000,70000,No,0,9,No,0,
L012723,10/30/2024,Retail,Rajasthan,60,LinkedIn,Product Demo,4,8,9,21,38,9,3,4,Yes,69000,105000,Yes,1,10,No,1,11/23/2024
L006348,12/20/2024,IT Services,Delhi,25,Website,Product Demo,0,0,45,1324,35,10,,3,No,61000,65000,Yes,2,3,Yes,0,
L015173,5/15/2025,IT Services,Gujarat,19,LinkedIn,Content Marketing,3,,,-12,43,6,2,3,Yes,58000,,No,0,11,No,1,7/21/2025
L000186,10/3/2025,Manufacturing,Haryana,38,Website,Free Trial,4,10,29,40,52,11,1,4,No,61000,,No,0,22,No,0,
L003386,9/3/2024,Education,Telangana,15,Email Campaign,Enterprise Outreach,4,11,11,36,86,7,3,4,Yes,48000,70000,No,2,6,No,0,
L011703,4/2/2025,Telecommunications,West Bengal,84,Email Campaign,content marketing,3,7,15,20,36,8,,2,No,80000,105000,No,0,13,Yes,1,5/5/2025
L006187,11/8/2024,Retail,Delhi,110,LinkedIn,Product Demo,,8,32,3,10,9,2,0,No,98000,140000,Yes,0,1,No,1,12/25/2024
L008099,4/6/2026,Financial Services,Haryana,62,LinkedIn,Enterprise Outreach,5,11,20,41,79,14,5,8,Yes,102000,120000,Yes,2,26,Yes,0,
L007382,2/16/2025,IT Services,Karnataka,9,Webinar,Free Trial,2,7,37,20,24,9,1,3,No,48000,50000,No,0,8,No,1,4/27/2025
L009454,8/18/2024,Real Estate,Punjab,12,Webinar,Product Demo,2,5,43,1,6,,14,,No,49000,60000,No,0,0,No,1,10/20/2024
L003129,3/19/2024,Professional Services,Kerala,129,LinkedIn,Enterprise Outreach,3,6,19,30,51,12,3,5,Yes,99000,105000,No,0,16,Yes,1,4/16/2024
L003628,2/6/2024,Real Estate,Andhra Pradesh,324,Website,Enterprise Outreach,4,6,41,20,46,,3,4,Yes,147000,145000,Yes,1,12,No,0,
L008348,6/27/2024,Healthcare,Punjab,11,LinkedIn,Free Trial,7,11,5,52,119,12,4,7,No,50000,55000,No,0,23,No,1,7/24/2024
L009234,5/25/2026,Financial Services,Tamil Nadu,125,LinkedIn,Content Marketing,,5,24,31,64,7,2,3,Yes,99000,80000,Yes,1,10,No,1,6/17/2026
L011903,3/18/2024,Financial Services,Kerala,85,Webinar,Webinar,7,8,23,51,70,11,1,8,Yes,109000,165000,No,0,27,Yes,1,4/20/2024
L015046,11/20/2024,Financial Services,Haryana,51,LinkedIn,Free Trial,1,3,35,3,10,6,2,0,No,63000,,No,0,1,No,0,
L009325,11/5/2025,Manufacturing,Gujarat,229,Website,Content Marketing,3,5,24,18,39,10,2,3,No,120000,180000,No,1,10,No,0,
L019433,1/5/2024,Professional Services,West Bengal,188, webinar,Product Demo,3,5,31,6,4,14,4,0,No,172000,265000,No,1,,No,1,3/19/2024
L012870,5/28/2024,IT Services,Gujarat,71,Email Campaign, webinar ,3,6,17,36,59,8,3,5,Yes,65000,80000,No,1,23,Yes,0,
L003728,1/26/2025,Telecommunications,Rajasthan,117,LinkedIn,Enterprise Outreach,3,4,30,18,40,8,1,2,No,107000,100000,No,1,4,No,0,
L001717,5/18/2025,Real Estate,Rajasthan,346,LinkedIn,Content Marketing,4,6,17,17,39,11,4,,No,218000,215000,No,0,,No,0,
L006190,9/7/2024,Healthcare,Rajasthan,78,Website,Free Trial,0,4,36,7,9,9,,1,No,78000,85000,Yes,1,1,No,1,11/6/2024
L007761,8/8/2024,IT Services,Maharashtra,191,Website,Content Marketing,4,9,30,12,23,9,3,3,No,190000,205000,Yes,1,4,No,1,9/23/2024
L010628,9/9/2025,IT Services,Andhra Pradesh,24,LinkedIn,Product Demo,0,1,36,12,28,7,3,4,No,63000,60000,No,1,5,No,0,
L001967,5/28/2024,Financial Services,Odisha,172,Google Ads,Free Trial,,4,11,18,37,9,3,1,No,140000,205000,No,1,5,No,0,
L006870,8/1/2025,Telecommunications,Uttar Pradesh,16,LinkedIn,enterprise outreach,5,12,17,51,,5,1,6,Yes,52000,,No,0,,Yes,1,9/8/2025
L005821,10/17/2025,Professional Services,Andhra Pradesh,381,Google Ads,Content Marketing,0,1,41,9,22,8,1,2,No,211000,225000,No,0,1,No,0,
L005334,10/20/2024,Retail,Delhi,48,LinkedIn,Product Demo,4,6,45,7,19,9,1,,No,59000,55000,No,0,2,No,0,
L004667,7/23/2024,Manufacturing,Gujarat,74,Google Ads,Enterprise Outreach,6,13,21,26,39,9,2,2,Yes,98000,,No,1,,No,1,8/31/2024
L016126,1/9/2024,Manufacturing,Haryana,11,LinkedIn,Webinar,6,8,,31,71,9,11,5,Yes,53000,55000,No,0,14,Yes,1,2/22/2024
L018028,1/23/2024,Education,Delhi,47,LINKEDIN,Free Trial,7,14,1,52,134,11,4,8,Yes,59000,65000,Yes,3,15,Yes,1,2/12/2024
L013607,5/3/2025,Manufacturing,Punjab,22,LinkedIn,Enterprise Outreach,3,4,22,11,22,357,2,2,Yes,,60000,Yes,1,4,Yes,1,6/6/2025
L011288,7/28/2025,Financial Services,Andhra Pradesh,35,Webinar,Enterprise Outreach,6,12,26,25,62,11,1,3,Yes,,65000,Yes,0,12,Yes,1,8/27/2025
L000936,5/24/2024,Logistics,Telangana,135,Webinar,Content Marketing,3,1,11,29,35,9,2,7,No,101000,100000,No,2,10,No,0,
L017145,4/14/2025,IT Services,Rajasthan,30,Google Ads,Content Marketing,3,4,55,2,12,6,1,0,No,62000,85000,No,0,1,No,0,
L002355,8/31/2025,IT Services,Gujarat,215,Referral,Product Demo,4,8,27,31,71,8,3,7,Yes,130000,190000,Yes,1,14,Yes,1,9/16/2025
L017907,11/6/2024,Retail,Tamil Nadu,92,LinkedIn,Free Trial,7,12,35,13,35,12,3,1,No,84000,105000,No,0,3,No,0,
L008839,6/12/2025,Retail,Telangana,9,Email Campaign,Product Demo,4,6,39,8,19,12,2,,No,48000,65000,Yes,1,5,No,0,
L013015,1/6/2026,IT Services,Haryana,371,Google Ads,Webinar,0,2,45,7,23,12,1,1,Yes,187000,160000,Yes,0,1,No,1,2/21/2026
L017204,9/8/2025,Education,Rajasthan,138,Referral,Product Demo,8,16,31,,134,13,2,5,Yes,84000,120000,Yes,0,26,Yes,1,9/22/2025
L010351,7/26/2025,Professional Services,Delhi,27,Website,Product demo,0,2,29,6,14,8,2,2,No,54000,80000,No,0,3,No,0,
L008545,7/25/2025,Healthcare,Punjab,46,Email Campaign,,4,6,2,19,30,8,2,3,No,66000,60000,No,0,6,No,0,
L005843,2/28/2024,Healthcare,Punjab,155,Partner,Enterprise Outreach,4,,30,27,47,11,3,6,Yes,134000,110000,No,1,12,Yes,0,
L004820,2/9/2025,Healthcare,Delhi,150,Email Campaign,Content Marketing,5,11,22,28,32,10,3,5,Yes,121000,110000,No,1,9,No,0,
L009058,3/28/2024,IT Services,Punjab,6,Website ,Product demo,1,3,32,5,9,8,2,1,Yes,48000,40000,Yes,0,1,No,0,
L016386,1/22/2025,Manufacturing,Maharashtra,10,Webinar,Webinar,1,1,23,8,19,7,1,2,No,48000,40000,No,0,5,No,0,
L000971,4/9/2025,Financial Services,Uttar Pradesh,5,Website,Webinar,1,3,39,,0,6,,2,Yes,49000,60000,No,0,0,No,0,
L000093,3/29/2026,Healthcare,Odisha,21,Email Campaign,Product Demo,4,8,,21,62,7,1,3,No,68000,80000,Yes,1,8,No,0,
L007511,5/27/2024,Manufacturing,Madhya Pradesh,6,Website,Content Marketing,3,0,27,11,29,8,3,1,No,48000,40000,No,0,7,No,0,
L013498,7/30/2026,IT Services,Karnataka,14,LinkedIn,Enterprise Outreach,5,5,22,22,47,6,2,5,Yes,52000,,Yes,2,8,No,1,8/23/2026
L010046,1/25/2024,IT Services,Uttar Pradesh,48,LinkedIn,Free Trial,5,8,34,14,18,,4,3,No,70000,85000,No,0,6,No,0,
L018443,16-Dec-24,Retail,Andhra Pradesh,17,Website,Product Demo,4,4,35,3,10,7,1,1,Yes,51000,70000,Yes,1,0,No,1,1/14/2025
L011068,8/5/2025,Healthcare,Punjab,4,Referral,Content Marketing,,19,19,53,112,10,3,12,Yes,49000,30000,No,1,21,Yes,1,8/16/2025
L016735,5/3/2024,Retail,Andhra Pradesh,28,Website,Free Trial,3,2,32,29,55,6,2,3,No,,60000,No,0,10,No,0,
L011692,2/12/2024,Real Estate,Andhra Pradesh,12,Google Ads,Product Demo,6,8,15,57,121,9,1,7,Yes,49000,75000,No,1,12,No,1,11/3/2024
L019607,6/30/2026,Healthcare,Maharashtra,151,Email Campaign,Product Demo,5,3,25,36,87,12,2,6,Yes,141000,150000,Yes,1,23,Yes,0,
L004629,4/8/2024,Healthcare,Karnataka,31,Google Ads,Product Demo,4,9,35,18,35,11,1,4,No,58000,85000,No,0,4,No,0,
L013780,1/28/2026,Retail,delhi,331,LinkedIn,Product Demo,11,22,18,60,140,12,5,5,Yes,169000,145000,No,2,28,Yes,1,2/18/2026
L016616,6/13/2025,Professional Services,Telangana,5,Google Ads,Webinar,4,,26,20,49,8,2,5,Yes,48000,60000,No,2,4,Yes,0,
L008080,10/4/2025,Retail,Haryana,20,Google Ads,Content Marketing,1,1,,1,0,8,,2,No,53000,80000,No,0,0,No,0,
L011330,6/18/2025,Professional Services,Delhi,34,Referral,Webinar,4,6,41,,36,7,1,,No,64000,80000,No,1,6,No,0,
L012375,8/10/2026,Retail,West Bengal,226,Webinar,Webinar,6,14,4,60,,16,4,6,No,121000,125000,Yes,1,31,Yes,1,8/21/2026
L018513,1/6/2026,Telecommunications,,201,Webinar,Enterprise Outreach,0,1,,13,19,8,2,3,No,121000,,No,0,,No,0,
L018797,4/27/2025,Retail,Andhra Pradesh,183,Partner,Free Trial,5,11,27,32,82,8,0,,No,114000,130000,Yes,0,7,Yes,1,5/6/2025
L007746,7/16/2026,Manufacturing,Maharashtra,36,Partner,Webinar,3,4,29,17,45,11,1,3,Yes,67000,60000,No,0,5,No,0,
L001779,11/26/2024,Manufacturing,Andhra Pradesh,13,Referral,,3,7,41,9,21,14,6,1,No,52000,75000,No,0,4,Yes,0,
L007883,7/23/2024,Retail,Haryana,40,Google Ads,Webinar,1,5,41,13,27,,1,2,No,69000,105000,No,1,3,No,0,
L008438,4/29/2026,Professional Services,Kerala,5,Google Ads,Free Trial,6,12,25,27,57,10,4,5,Yes,48000,50000,No,2,15,No,1,6/13/2026
L018284,6/6/2024,IT Services,Rajasthan,9,Webinar,Webinar,3,5,25,21,51,7,3,3,No,51000,70000,No,0,10,No,1,8/4/2024
L000956,9/9/2025,Manufacturing,Uttar Pradesh,49,Email Campaign,Enterprise Outreach,3,6,31,20,,11,4,5,Yes,62000,90000,Yes,1,12,Yes,0,
L002805,7/3/2024,IT Services,Andhra Pradesh,87,Google Ads,Free Trial,2,4,52,5,8,7,10,1,No,93000,95000,No,0,3,No,0,
L018948,8/9/2025,Telecommunications,Madhya Pradesh,158,Email Campaign,Webinar,4,6,27,4,7,10,4,1,No,178000,145000,Yes,0,1,No,0,
L010393,10/16/2024,IT Services,Madhya Pradesh,5,Partner,Product Demo,2,11,30,12,21,286,1,,No,47000,35000,No,1,9,No,0,
L004291,8/25/2026,Manufacturing,West Bengal,34,Website,Enterprise Outreach,7,13,35,33,,10,2,6,Yes,61000,50000,Yes,1,5,Yes,1,9/20/2026
L019247,12/5/2025,Manufacturing,West Bengal,121,Email Campaign,Enterprise Outreach,,11,22,38,57,9,1,5,Yes,79000,70000,Yes,1,10,No,1,12/20/2025
L019613,6/25/2024,Financial Services,Haryana ,35,LinkedIn,Enterprise Outreach,4,12,29,17,21,5,2,4,Yes,59000,65000,No,0,4,No,1,8/4/2024
L010931,7/21/2024,IT Services,Maharashtra,32,Website,Free Trial,1,8,32,2,8,5,2,0,No,67000,45000,Yes,0,1,No,0,
L003592,11/26/2024,Healthcare,Punjab,561,Partner,Free Trial,,11,1,60,140,12,2,9,Yes,228000,190000,No,1,23,Yes,1,12/20/2024
L008858,7/6/2025,Retail,Punjab,70,Referral,Content Marketing,2,,40,2,0,10,2,2,No,85000,115000,Yes,0,,No,0,
L000119,8/26/2024,Logistics,Uttar Pradesh,16,Google Ads,Enterprise Outreach,2,3,41,3,7,9,3,1,No,52000,60000,No,0,1,No,0,
L001598,20-Oct-24,IT Services,Madhya Pradesh,31,Website,Webinar,2,4,33,21,55,6,1,4,No,59000,90000,No,1,7,No,0,
L011255,5/14/2025,Telecommunications,Uttar Pradesh,40,Website,Enterprise Outreach,2,5,34,15,18,207,1,3,Yes,61000,85000,Yes,0,6,No,1,6/16/2025
L008622,2/5/2026,Professional Services,Madhya Pradesh,22,Google Ads,Content Marketing,6,11,,17,46,7,2,2,No,53000,35000,No,1,10,Yes,1,3/12/2026
L003440,6/12/2026,Real Estate,Uttar Pradesh,89,Email Campaign,Product Demo,3,4,41,3,9,10,4,1,No,82000,85000,Yes,0,1,No,0,
L008131,9/21/2025,Telecommunications,Uttar Pradesh,47,Google Ads,Enterprise Outreach,4,8,17,19,44,8,1,2,No,89000,110000,No,0,6,No,0,
L012228,3/5/2024,Financial Services,Rajasthan,26,Website,Content Marketing,4,6,26,14,23,9,1,1,No,54000,40000,No,0,6,No,0,
L011920,2/16/2026,IT Services,Tamil Nadu,18,Email campaign,Product demo,2,3,29,14,29,9,1,1,No,56000,75000,No,0,5,No,0,
L004115,2/20/2024,Telecommunications,Maharashtra,22,Website,Product Demo,6,11,11,23,26,9,1,3,Yes,53000,50000,Yes,1,7,No,1,3/16/2024
L010635,6/2/2025,Professional Services,Telangana,26,Partner,Product Demo,3,8,28,32,,7,1,5,Yes,53000,50000,No,0,11,Yes,1,6/30/2025
L012237,2/7/2024,Education,Andhra Pradesh,15,LinkedIn,Enterprise Outreach,5,3,18,28,62,8,2,1,Yes,50000,55000,No,0,17,No,0,
L017881,4/6/2025,Retail,Karnataka,459,Email Campaign,Enterprise Outreach,5,9,19,38,44,15,5,,Yes,189000,210000,No,0,14,Yes,1,5/10/2025
L010770,8/9/2026,Healthcare,Madhya Pradesh,83,Google Ads,Enterprise Outreach,3,8,42,1,1,8,1,0,Yes,83000,70000,No,0,1,No,0,
L016635,3/27/2024,Professional Services,Madhya Pradesh,63,Email Campaign,Free Trial,3,6,33,10,21,9,2,3,Yes,,85000,No,1,4,No,0,
L009253,6/3/2025,IT Services,Uttar Pradesh,9,LinkedIn,Webinar,2,,39,17,33,7,0,2,Yes,49000,55000,No,0,45,No,0,
L003656,6/26/2025,Financial Services,Delhi,115,Google Ads,Product Demo,2,4,36,13,30,223,,1,No,118000,165000,No,0,7,No,0,
L001459,10/31/2024,IT Services,Punjab,493,Google Ads,Free Trial,8,15,30,19,45,9,1,2,Yes,316000,325000,Yes,0,4,No,1,11/25/2024
L007426,2/19/2026,Logistics,Delhi,80,Google Ads,Free Trial,4,10,,35,78,7,1,7,No,72000,75000,No,1,7,No,1,4/16/2026
L017884,7/28/2024,Manufacturing,Maharashtra,53,Partner,Free Trial,10,16,1,60,102,9,2,12,Yes,66000,90000,No,2,22,Yes,1,8/18/2024
L019934,8/14/2025,IT Services,Rajasthan,20,LinkedIn,Product Demo,4,11,23,28,65,8,3,4,No,55000,75000,No,0,16,No,0,
L015957,7/7/2026,IT Services,Gujarat,26,Google Ads,Free Trial,3,5,28,21,38,10,1,4,No,57000,45000,No,1,4,No,0,
L011329,9/5/2025,Retail,Punjab,114,Partner,Product Demo,4,3,26,21,49,8,1,1,No,106000,95000,Yes,0,6,Yes,0,
L015524,10/26/2024,Real Estate,West Bengal,18,Email Campaign,Free Trial,5,10,39,34,67,8,1,5,Yes,55000,75000,Yes,0,16,No,1,12/7/2024
L011311,2/13/2024,Retail,Karnataka,49,Referral,Product Demo,4,6,37,10,18,10,3,2,No,65000,75000,No,0,6,No,0,
L000479,4/16/2024,Healthcare,Odisha,153,Referral,Content Marketing,5,8,12,25,47,14,3,3,No,88000,100000,No,1,16,No,1,6/4/2024
L008517,11/18/2025,Healthcare,Rajasthan,8,Google Ads,Free Trial,3,6,63,10,23,9,1,2,No,,35000,Yes,0,2,No,0,
L005469,5/30/2025,IT Services,Madhya Pradesh,699,Email Campaign,Content Marketing,3,5,20,12,33,6,2,4,No,353000,530000,No,1,2,Yes,1,5/28/2025
L018963,4/15/2024,Manufacturing,Rajasthan,47,Linkedin ,Webinar,0,0,47,4,9,6,1,2,No,,65000,No,0,1,No,0,
L009805,3/19/2025,IT Services,Karnataka,33,Website,Content Marketing,4,8,39,17,29,7,2,2,No,65000,45000,Yes,0,8,No,1,2/17/2025
L018439,4/22/2024,Real Estate,Uttar Pradesh,7,LinkedIn,Product Demo ,1,2,39,4,8,3,1,,Yes,49000,,No,0,2,No,0,
L006700,7/13/2024,Financial Services,Andhra Pradesh,93,Website,Webinar,2,4,48,10,26,8,1,1,No,88000,70000,No,0,4,No,0,
L017231,3/16/2026,IT Services,Kerala,6,Google Ads,Content Marketing,,7,22,47,72,7,2,9,Yes,47000,40000,No,3,17,Yes,1,4/10/2026
L012226,11/28/2024,Financial Services,Delhi,214,Email Campaign,Content Marketing,3,3,33,8,13,8,3,1,No,161000,195000,No,0,,No,1,2/17/2025
L001176,9/9/2024,Retail,Rajasthan,22, linkedIn,Enterprise Outreach,4,10,47,7,12,11,3,0,No,53000,70000,No,0,3,No,0,
L011096,10/21/2024,Education,Tamil Nadu,24,referral,Product Demo,4,11,17,15,38,11,4,4,No,56000,50000,No,1,2,No,1,12/16/2024
L006455,8/19/2024,Financial Services,Punjab,38,Google Ads,Free Trial,1,1,49,5,8,6,1,1,No,71000,70000,No,0,1,No,0,
L005328,8/13/2025,Professional Services,Andhra Pradesh,28,Google Ads,Free Trial,6,15,13,35,,8,0,9,Yes,59000,85000,No,3,12,No,1,9/12/2025
L008139,1/30/2025,Logistics,tamil nadu,69,Email Campaign,Content Marketing,3,0,32,25,57,10,2,5,Yes,71000,55000,Yes,0,5,Yes,1,17/03/2025
L004281,1/16/2026,IT Services,Tamil Nadu,50,Referral,Content Marketing,5,12,30,2,3,,1,0,No,86000,60000,Yes,0,0,No,0,
L002002,2/15/2026,Financial Services,Rajasthan,49,Website,Content Marketing,4,12,30,15,38,8,1,87,No,,60000,No,0,,No,0,
L002458,4/6/2025,Education,West Bengal,12,Google Ads,Product Demo,6,4,19,60,,7,3,8,Yes,48000,60000,No,2,24,Yes,1,5/14/2025
