Lead_ID,Lead_Date,Industry,State,Employee_Count,Lead_Source,Campaign_Type,Sales_Rep_Interactions,Previous_Interactions,Days_Since_Last_Interaction,Website_Visits,Pages_Viewed,Email_Opens,Email_Clicks,Content_Downloads,Demo_Attended,Estimated_Budget,Estimated_Deal_Value,Decision_Maker,Contact_Requests,Product_Page_Visits,Trial_Started,Converted,Company_Size,Total_Interactions,Digital_Engagement_Score,Budget_per_Employee,Deal_to_Budget_Ratio
L000012,2026-08-07,Education,Odisha,4.0,Email Campaign,Product Demo,4.0,9.0,32.0,11.0,23.0,8.0,3.0,2.0,No,46000.0,50000.0,Yes,1.0,4.0,No,0,Small,13.0,11.099999999999998,11500.0,1.0869565217391304
L000013,2025-12-16,Retail,Delhi,56.0,LinkedIn,Free Trial,5.0,7.0,20.0,36.0,,8.0,0.0,6.0,No,68000.0,75000.0,No,2.0,5.0,No,0,Medium,12.0,18.999999999999996,1214.2857142857142,1.1029411764705883
L000014,2026-01-10,Logistics,Karnataka,106.0,Website,Content Marketing,3.0,4.0,43.0,6.0,17.0,7.0,3.0,2.0,No,,140000.0,No,0.0,2.0,No,0,Medium,7.0,8.7,,
L000015,2025-11-29,Logistics,Telangana,12.0,Referral,Content Marketing,,7.0,36.0,6.0,10.0,8.0,1.0,1.0,No,49000.0,45000.0,No,0.0,,No,0,Small,,5.250000000000001,4083.3333333333335,0.9183673469387755
L000016,2026-02-03,IT Services,Odisha,137.0,Webinar,Enterprise Outreach,4.0,6.0,51.0,12.0,16.0,9.0,,2.0,Yes,,80000.0,No,1.0,5.0,No,1,Medium,10.0,10.0,,
L000017,2025-05-14,Professional Services,Punjab,37.0,Referral,Unknown,,5.0,18.0,23.0,,5.0,1.0,3.0,No,65000.0,65000.0,No,0.0,12.0,No,0,Small,,16.75,1756.7567567567567,1.0
L000018,2024-05-04,Professional Services,Kerala,42.0,LinkedIn,Product Demo,3.0,3.0,6.0,28.0,,10.0,4.0,,Yes,61000.0,50000.0,Yes,0.0,5.0,Yes,0,Small,6.0,19.333333333333336,1452.3809523809523,0.819672131147541
L000019,2026-03-28,Telecommunications,Delhi,116.0,Google Ads,Content Marketing,5.0,10.0,31.0,25.0,,14.0,2.0,6.0,Yes,96000.0,115000.0,No,0.0,12.0,No,0,Medium,15.0,22.249999999999996,827.5862068965517,1.1979166666666667
L000020,2025-03-14,Education,Rajasthan,5.0,Google Ads,Content Marketing,4.0,8.0,30.0,11.0,16.0,9.0,1.0,3.0,No,,60000.0,Yes,0.0,6.0,No,0,Small,12.0,10.200000000000001,,
L000021,2025-05-01,Retail,Punjab,84.0,Google Ads,Free Trial,3.0,5.0,33.0,28.0,,8.0,2.0,5.0,No,104000.0,,No,0.0,15.0,No,0,Medium,8.0,23.25,1238.095238095238,
L000022,2024-12-26,Retail,Gujarat,5.0,Partner,Product Demo,,5.0,,11.0,30.0,7.0,1.0,2.0,No,,70000.0,No,0.0,4.0,No,0,Small,,9.8,,
L000023,2024-06-26,IT Services,Tamil Nadu,6.0,LinkedIn,Free Trial,5.0,9.0,36.0,6.0,14.0,7.0,2.0,0.0,Yes,48000.0,45000.0,Yes,0.0,3.0,No,0,Small,14.0,5.800000000000001,8000.0,0.9375
L000024,2026-06-20,Retail,Andhra Pradesh,7.0,Google Ads,Content Marketing,1.0,3.0,33.0,14.0,38.0,8.0,1.0,2.0,No,48000.0,50000.0,No,0.0,4.0,No,0,Small,4.0,11.2,6857.142857142857,1.0416666666666667
L000025,2026-01-30,Education,Karnataka,77.0,Website,Free Trial,3.0,3.0,44.0,9.0,13.0,7.0,2.0,3.0,No,80000.0,65000.0,No,0.0,3.0,No,0,Medium,6.0,9.3,1038.9610389610389,0.8125
L000026,2025-09-18,Education,Andhra Pradesh,82.0,LinkedIn,Content Marketing,5.0,8.0,42.0,9.0,18.0,12.0,2.0,3.0,No,86000.0,65000.0,Yes,0.0,5.0,No,1,Medium,13.0,10.600000000000001,1048.780487804878,0.7558139534883721
L000027,2025-01-26,Healthcare,Haryana,105.0,Website,Product Demo,4.0,5.0,32.0,6.0,16.0,7.0,2.0,1.0,Yes,74000.0,50000.0,No,0.0,1.0,No,0,Medium,9.0,6.200000000000001,704.7619047619048,0.6756756756756757
L000028,2026-03-11,Manufacturing,Kerala,36.0,LinkedIn,Free Trial,3.0,8.0,35.0,23.0,60.0,8.0,,2.0,No,,,No,0.0,10.0,No,1,Small,11.0,20.75,,
L000029,2025-06-14,Education,Gujarat,25.0,Webinar,Product Demo,4.0,5.0,29.0,30.0,67.0,6.0,1.0,6.0,Yes,53000.0,65000.0,No,0.0,6.0,No,1,Small,9.0,22.1,2120.0,1.2264150943396226
L000030,2025-03-07,Manufacturing,Kerala,67.0,Google Ads,Webinar,2.0,6.0,44.0,9.0,28.0,6.0,2.0,2.0,No,69000.0,100000.0,Yes,0.0,2.0,No,1,Medium,8.0,9.4,1029.8507462686566,1.4492753623188406
L000031,2025-03-14,Professional Services,Andhra Pradesh,,Website,Free Trial,,7.0,22.0,28.0,70.0,11.0,2.0,5.0,Yes,63000.0,50000.0,No,0.0,10.0,No,1,,,23.599999999999998,,0.7936507936507936
L000033,2024-03-30,IT Services,Tamil Nadu,34.0,Google Ads,Content Marketing,7.0,7.0,30.0,45.0,105.0,10.0,3.0,,Yes,,70000.0,Yes,1.0,16.0,Yes,1,Small,14.0,36.125,,
L000034,2025-06-23,IT Services,Karnataka,35.0,Google Ads,Free Trial,4.0,3.0,23.0,23.0,42.0,7.0,,5.0,No,61000.0,90000.0,No,0.0,10.0,No,0,Small,7.0,22.249999999999996,1742.857142857143,1.4754098360655739
L000035,2026-05-13,Logistics,Andhra Pradesh,387.0,Website,Free Trial,5.0,7.0,21.0,28.0,38.0,11.0,4.0,2.0,Yes,254000.0,200000.0,Yes,0.0,,Yes,1,Large,12.0,19.25,656.3307493540052,0.7874015748031497
L000036,2024-03-03,Manufacturing,Odisha,106.0,Webinar,Enterprise Outreach,3.0,4.0,35.0,19.0,41.0,12.0,,5.0,No,108000.0,135000.0,No,0.0,4.0,No,0,Medium,7.0,18.125,1018.8679245283018,1.25
L000037,2026-04-15,Real Estate,Rajasthan,65.0,Website,Free Trial,3.0,5.0,27.0,8.0,23.0,15.0,5.0,2.0,Yes,63000.0,90000.0,Yes,0.0,5.0,No,0,Medium,8.0,12.9,969.2307692307693,1.4285714285714286
L000039,2024-09-26,IT Services,Andhra Pradesh,40.0,Referral,Enterprise Outreach,8.0,14.0,17.0,60.0,109.0,8.0,3.0,12.0,Yes,66000.0,60000.0,No,0.0,30.0,Yes,1,Small,22.0,49.9,1650.0,0.9090909090909091
L000040,2025-09-06,Manufacturing,Haryana,116.0,Website,Product Demo,1.0,2.0,36.0,18.0,39.0,10.0,,3.0,No,94000.0,145000.0,No,0.0,4.0,No,1,Medium,3.0,15.125,810.3448275862069,1.5425531914893618
L000041,2024-06-09,Logistics,Tamil Nadu,46.0,Email Campaign,Content Marketing,5.0,13.0,35.0,19.0,53.0,12.0,1.0,4.0,No,67000.0,85000.0,No,1.0,10.0,No,0,Small,18.0,18.099999999999998,1456.5217391304348,1.2686567164179106
L000042,2026-01-07,Professional Services,Gujarat,24.0,LinkedIn,Content Marketing,4.0,2.0,8.0,14.0,,,3.0,3.0,No,54000.0,65000.0,No,0.0,5.0,No,0,Small,6.0,13.5,2250.0,1.2037037037037037
L000043,2025-11-12,Telecommunications,Odisha,6.0,Website,Webinar,2.0,2.0,30.0,17.0,24.0,11.0,4.0,3.0,Yes,48000.0,55000.0,No,1.0,3.0,No,0,Small,4.0,13.999999999999998,8000.0,1.1458333333333333
L000044,2024-12-10,Manufacturing,Madhya Pradesh,25.0,Partner,Content Marketing,4.0,5.0,31.0,7.0,4.0,6.0,2.0,2.0,No,58000.0,40000.0,Yes,1.0,2.0,No,0,Small,9.0,6.6000000000000005,2320.0,0.6896551724137931
L000045,2024-03-07,Real Estate,West Bengal,82.0,Referral,Product Demo,1.0,3.0,,8.0,21.0,10.0,4.0,2.0,No,62000.0,90000.0,No,0.0,5.0,No,0,Medium,4.0,11.7,756.0975609756098,1.4516129032258065
L000046,2026-08-02,IT Services,Madhya Pradesh,9.0,Website,Free Trial,2.0,3.0,39.0,13.0,35.0,10.0,2.0,2.0,No,48000.0,40000.0,No,0.0,5.0,No,0,Small,5.0,12.1,5333.333333333333,0.8333333333333334
L000047,2025-03-09,Retail,Punjab,202.0,Email Campaign,Free Trial,5.0,3.0,25.0,18.0,44.0,10.0,4.0,3.0,Yes,99000.0,145000.0,No,0.0,11.0,Yes,0,Medium,8.0,19.400000000000002,490.0990099009901,1.4646464646464648
L000048,2026-05-19,Professional Services,Rajasthan,50.0,Google Ads,Webinar,5.0,13.0,21.0,33.0,51.0,14.0,3.0,4.0,Yes,56000.0,60000.0,Yes,1.0,16.0,Yes,0,Small,18.0,25.1,1120.0,1.0714285714285714
L000049,2025-10-21,Manufacturing,Telangana,188.0,Website,Free Trial,,4.0,37.0,16.0,39.0,8.0,1.0,3.0,No,146000.0,145000.0,No,0.0,4.0,No,0,Medium,,12.699999999999998,776.5957446808511,0.9931506849315068
L000050,2026-01-27,Professional Services,Karnataka,34.0,LinkedIn,Enterprise Outreach,6.0,11.0,41.0,24.0,56.0,7.0,2.0,3.0,No,56000.0,80000.0,Yes,1.0,8.0,No,0,Small,17.0,18.6,1647.0588235294117,1.4285714285714286
L000051,2026-01-09,Financial Services,Karnataka,3.0,LinkedIn,Product Demo,4.0,5.0,33.0,11.0,24.0,,3.0,2.0,No,,65000.0,No,0.0,4.0,No,0,Small,9.0,11.2,,
L000052,2024-07-08,IT Services,Tamil Nadu,24.0,LinkedIn,Content Marketing,8.0,5.0,13.0,32.0,51.0,8.0,3.0,6.0,Yes,60000.0,50000.0,Yes,1.0,8.0,No,1,Small,13.0,23.699999999999996,2500.0,0.8333333333333334
L000053,2024-12-20,Retail,Madhya Pradesh,17.0,Email Campaign,Enterprise Outreach,4.0,3.0,38.0,,26.0,8.0,2.0,2.0,No,54000.0,85000.0,No,0.0,6.0,No,0,Small,7.0,11.25,3176.470588235294,1.5740740740740742
L000054,2025-03-30,Telecommunications,Karnataka,14.0,Website,Webinar,8.0,9.0,17.0,60.0,123.0,8.0,2.0,8.0,Yes,55000.0,40000.0,No,2.0,34.0,Yes,1,Small,17.0,47.9,3928.5714285714284,0.7272727272727273
L000055,2025-04-29,Healthcare,Karnataka,64.0,Partner,Content Marketing,2.0,0.0,40.0,9.0,21.0,13.0,4.0,0.0,Yes,64000.0,55000.0,Yes,0.0,5.0,No,0,Medium,2.0,9.9,1000.0,0.859375
L000058,2024-05-30,Logistics,Karnataka,18.0,Referral,Webinar,1.0,2.0,46.0,10.0,21.0,7.0,3.0,1.0,No,51000.0,60000.0,Yes,0.0,3.0,No,1,Small,3.0,9.3,2833.3333333333335,1.1764705882352942
L000059,2025-12-24,Retail,Andhra Pradesh,95.0,LinkedIn,Enterprise Outreach,3.0,5.0,54.0,9.0,27.0,5.0,1.0,2.0,Yes,96000.0,110000.0,No,0.0,2.0,No,0,Medium,8.0,8.299999999999999,1010.5263157894736,1.1458333333333333
L000060,2025-10-26,Financial Services,Odisha,27.0,Website,Free Trial,2.0,5.0,31.0,27.0,71.0,11.0,1.0,4.0,No,62000.0,45000.0,Yes,1.0,9.0,No,0,Small,7.0,21.099999999999998,2296.296296296296,0.7258064516129032
L000061,2026-06-16,Logistics,Haryana,13.0,LinkedIn,Content Marketing,0.0,1.0,,16.0,29.0,9.0,3.0,1.0,No,52000.0,40000.0,No,1.0,3.0,No,0,Small,1.0,11.299999999999999,4000.0,0.7692307692307693
L000062,2025-12-25,Logistics,Karnataka,23.0,LinkedIn,Enterprise Outreach,1.0,0.0,34.0,4.0,7.0,6.0,,,No,51000.0,70000.0,No,0.0,,No,0,Small,1.0,3.7500000000000004,2217.391304347826,1.3725490196078431
L000063,2024-12-22,Retail,Rajasthan,127.0,Website,Content Marketing,3.0,4.0,26.0,30.0,68.0,11.0,1.0,8.0,Yes,88000.0,100000.0,No,1.0,18.0,No,1,Medium,7.0,29.000000000000004,692.9133858267717,1.1363636363636365
L000064,2026-07-30,Financial Services,Punjab,63.0,Website,Free Trial,7.0,14.0,20.0,27.0,47.0,11.0,4.0,3.0,No,87000.0,120000.0,Yes,1.0,9.0,Yes,1,Medium,21.0,20.700000000000003,1380.952380952381,1.3793103448275863
L000065,2025-02-03,IT Services,Odisha,67.0,Google Ads,Webinar,5.0,11.0,,29.0,64.0,9.0,3.0,3.0,Yes,70000.0,105000.0,Yes,1.0,11.0,No,0,Medium,16.0,22.600000000000005,1044.7761194029852,1.5
L000066,2024-11-13,Professional Services,West Bengal,62.0,Google Ads,Enterprise Outreach,8.0,21.0,19.0,28.0,38.0,10.0,4.0,,Yes,,70000.0,Yes,0.0,15.0,Yes,0,Medium,29.0,24.25,,
L000067,2026-05-31,Education,Odisha,5.0,Google Ads,Webinar,3.0,,37.0,11.0,16.0,4.0,1.0,2.0,No,47000.0,40000.0,No,1.0,7.0,No,0,Small,,9.6,9400.0,0.851063829787234
L000068,2024-12-26,Real Estate,Punjab,31.0,LinkedIn,Content Marketing,2.0,2.0,,7.0,13.0,8.0,3.0,1.0,No,61000.0,45000.0,Yes,0.0,1.0,No,0,Small,4.0,7.1000000000000005,1967.741935483871,0.7377049180327869
L000069,2024-03-15,Logistics,Delhi,114.0,Partner,Free Trial,1.0,1.0,,16.0,24.0,7.0,0.0,1.0,No,98000.0,100000.0,No,0.0,9.0,No,0,Medium,2.0,10.200000000000001,859.6491228070175,1.0204081632653061
L000070,2025-04-01,Real Estate,Rajasthan,3.0,Email Campaign,Enterprise Outreach,4.0,7.0,17.0,36.0,61.0,,2.0,4.0,Yes,46000.0,35000.0,Yes,1.0,21.0,No,1,Small,11.0,27.700000000000003,15333.333333333334,0.7608695652173914
L000071,2026-02-13,Financial Services,Rajasthan,4.0,LinkedIn,Enterprise Outreach,6.0,13.0,26.0,13.0,37.0,,3.0,5.0,No,47000.0,35000.0,No,0.0,6.0,No,0,Small,19.0,16.7,11750.0,0.7446808510638298
L000072,2024-07-03,Retail,Madhya Pradesh,10.0,Google Ads,Webinar,5.0,5.0,35.0,20.0,55.0,,1.0,1.0,No,48000.0,35000.0,No,0.0,11.0,No,0,Small,10.0,15.9,4800.0,0.7291666666666666
L000073,2025-03-26,Education,Haryana,15.0,LinkedIn,Content Marketing,3.0,4.0,36.0,5.0,7.0,10.0,2.0,1.0,No,52000.0,35000.0,No,1.0,2.0,No,1,Small,7.0,5.499999999999999,3466.6666666666665,0.6730769230769231
L000074,2024-05-06,IT Services,Kerala,37.0,Google Ads,Product Demo,4.0,10.0,43.0,11.0,26.0,10.0,2.0,1.0,No,58000.0,80000.0,Yes,0.0,2.0,Yes,1,Small,14.0,8.6,1567.5675675675675,1.3793103448275863
L000075,2025-10-29,IT Services,West Bengal,8.0,Partner,Product Demo,6.0,12.0,21.0,40.0,64.0,11.0,4.0,7.0,Yes,51000.0,75000.0,No,0.0,7.0,No,0,Small,18.0,28.200000000000003,6375.0,1.4705882352941178
L000076,2025-04-07,Education,Tamil Nadu,63.0,LinkedIn,Enterprise Outreach,1.0,3.0,19.0,16.0,,,1.0,3.0,Yes,56000.0,65000.0,Yes,0.0,8.0,No,0,Medium,4.0,13.0,888.8888888888889,1.1607142857142858
L000077,2024-11-17,Telecommunications,Haryana,464.0,Webinar,Free Trial,4.0,9.0,21.0,16.0,34.0,7.0,2.0,2.0,No,280000.0,280000.0,Yes,0.0,5.0,Yes,0,Large,13.0,12.6,603.448275862069,1.0
L000078,2024-08-08,Education,Odisha,18.0,Webinar,Webinar,,15.0,26.0,18.0,45.0,8.0,,3.0,No,51000.0,55000.0,No,0.0,7.0,No,0,Small,,17.375,2833.3333333333335,1.0784313725490196
L000079,2025-07-03,IT Services,Punjab,7.0,Email Campaign,Webinar,98.0,6.0,30.0,10.0,27.0,9.0,4.0,2.0,No,48000.0,50000.0,Yes,0.0,4.0,No,0,Small,104.0,12.3,6857.142857142857,1.0416666666666667
L000080,2025-10-13,Professional Services,Rajasthan,22.0,Website,Product Demo,2.0,4.0,20.0,14.0,38.0,10.0,1.0,2.0,No,,50000.0,No,0.0,4.0,No,0,Small,6.0,11.2,,
L000081,2026-07-03,IT Services,Telangana,67.0,Google Ads,Webinar,2.0,4.0,22.0,15.0,42.0,7.0,1.0,1.0,No,72000.0,50000.0,Yes,0.0,,Yes,1,Medium,6.0,11.5,1074.6268656716418,0.6944444444444444
L000082,2025-03-01,Financial Services,Tamil Nadu,42.0,Webinar,Enterprise Outreach,6.0,5.0,49.0,7.0,14.0,10.0,4.0,2.0,Yes,67000.0,70000.0,No,0.0,3.0,No,0,Small,11.0,10.0,1595.2380952380952,1.044776119402985
L000083,2024-06-05,Professional Services,Telangana,83.0,Webinar,Webinar,4.0,10.0,41.0,11.0,19.0,12.0,1.0,2.0,No,82000.0,65000.0,Yes,0.0,2.0,No,0,Medium,14.0,7.899999999999999,987.9518072289156,0.7926829268292683
L000084,2026-03-21,Real Estate,Telangana,26.0,Website,Webinar,5.0,10.0,,22.0,53.0,10.0,1.0,5.0,Yes,54000.0,55000.0,Yes,0.0,7.0,No,0,Small,15.0,18.5,2076.923076923077,1.0185185185185186
L000085,2025-09-04,Professional Services,Odisha,52.0,LinkedIn,Content Marketing,4.0,10.0,26.0,20.0,33.0,7.0,2.0,,No,68000.0,100000.0,Yes,1.0,11.0,No,1,Medium,14.0,17.125,1307.6923076923076,1.4705882352941178
L000086,2025-11-12,Real Estate,Haryana,682.0,LinkedIn,Product Demo,4.0,9.0,29.0,7.0,12.0,7.0,1.0,2.0,No,328000.0,410000.0,Yes,0.0,4.0,No,0,Large,13.0,7.200000000000001,480.9384164222874,1.25
L000087,2024-04-04,Education,Gujarat,23.0,LinkedIn,Content Marketing,5.0,11.0,15.0,20.0,48.0,10.0,4.0,4.0,Yes,53000.0,50000.0,No,1.0,12.0,No,1,Small,16.0,21.6,2304.3478260869565,0.9433962264150944
L000088,2024-10-30,Healthcare,Andhra Pradesh,35.0,LinkedIn,Product Demo,1.0,0.0,37.0,17.0,35.0,,4.0,1.0,No,59000.0,75000.0,No,0.0,9.0,No,0,Small,1.0,15.499999999999996,1685.7142857142858,1.271186440677966
L000089,2026-01-17,Healthcare,Gujarat,60.0,Website,Webinar,6.0,15.0,6.0,26.0,38.0,14.0,3.0,5.0,No,,100000.0,No,1.0,11.0,No,0,Medium,21.0,21.400000000000002,,
L000090,2026-03-20,Professional Services,Madhya Pradesh,631.0,Webinar,Enterprise Outreach,2.0,4.0,49.0,12.0,32.0,,3.0,3.0,No,236000.0,345000.0,Yes,1.0,8.0,No,0,Large,6.0,14.800000000000002,374.0095087163233,1.4618644067796611
L000091,2025-02-27,Telecommunications,Rajasthan,96.0,Referral,Content Marketing,5.0,8.0,31.0,21.0,56.0,13.0,,4.0,Yes,78000.0,70000.0,Yes,1.0,6.0,Yes,1,Medium,13.0,20.25,812.5,0.8974358974358975
L000093,2026-03-29,Healthcare,Odisha,21.0,Email Campaign,Product Demo,4.0,8.0,,21.0,62.0,7.0,1.0,3.0,No,68000.0,80000.0,Yes,1.0,8.0,No,0,Small,12.0,17.6,3238.095238095238,1.1764705882352942
L000094,2025-01-12,Healthcare,Kerala,168.0,Referral,Webinar,3.0,5.0,25.0,21.0,33.0,11.0,2.0,4.0,Yes,122000.0,150000.0,No,0.0,9.0,Yes,1,Medium,8.0,17.099999999999998,726.1904761904761,1.2295081967213115
L000095,2026-05-23,Healthcare,Odisha,32.0,Unknown,Free Trial,5.0,14.0,26.0,13.0,,10.0,3.0,3.0,No,64000.0,75000.0,No,0.0,7.0,No,0,Small,19.0,14.250000000000002,2000.0,1.171875
L000096,2024-10-07,Telecommunications,Maharashtra,206.0,Webinar,Content Marketing,5.0,10.0,29.0,16.0,23.0,13.0,5.0,4.0,No,202000.0,160000.0,No,1.0,6.0,No,1,Medium,15.0,16.900000000000002,980.5825242718447,0.7920792079207921
L000097,2024-08-21,IT Services,Telangana,26.0,Google Ads,Product Demo,7.0,14.0,1.0,60.0,134.0,10.0,4.0,7.0,Yes,,40000.0,No,1.0,13.0,Yes,1,Small,21.0,41.6,,
L000098,2025-10-26,Manufacturing,Telangana,18.0,Partner,Product Demo,4.0,10.0,14.0,38.0,81.0,9.0,1.0,9.0,Yes,58000.0,,No,0.0,11.0,Yes,0,Small,14.0,30.100000000000005,3222.222222222222,
L000099,2025-09-11,Professional Services,Kerala,7.0,LinkedIn,Product Demo,3.0,0.0,22.0,16.0,22.0,6.0,1.0,2.0,No,48000.0,55000.0,Yes,0.0,8.0,No,0,Small,3.0,11.600000000000001,6857.142857142857,1.1458333333333333
L000100,2024-05-15,Retail,Punjab,64.0,Referral,Enterprise Outreach,4.0,11.0,29.0,18.0,41.0,,2.0,,No,,85000.0,Yes,0.0,6.0,Yes,0,Medium,15.0,15.125,,
L000101,2026-03-21,Manufacturing,Karnataka,4.0,Website,Product Demo,5.0,10.0,10.0,21.0,45.0,9.0,2.0,4.0,Yes,47000.0,45000.0,No,1.0,12.0,No,0,Small,15.0,19.5,11750.0,0.9574468085106383
L000102,2024-07-13,Healthcare,Delhi,151.0,Website,Product Demo,3.0,6.0,,,29.0,14.0,4.0,4.0,Yes,,185000.0,Yes,0.0,6.0,No,0,Medium,9.0,16.624999999999996,,
L000103,2026-02-22,IT Services,Kerala,7.0,Website,Free Trial,0.0,1.0,33.0,6.0,14.0,7.0,0.0,0.0,No,50000.0,40000.0,No,0.0,3.0,No,0,Small,1.0,3.8,7142.857142857143,0.8
L000104,2024-01-08,Financial Services,Gujarat,4.0,LinkedIn,Content Marketing,1.0,2.0,37.0,3.0,7.0,11.0,2.0,1.0,No,47000.0,35000.0,No,0.0,2.0,No,0,Small,3.0,5.1000000000000005,11750.0,0.7446808510638298
L000105,2026-02-14,IT Services,Kerala,34.0,Email Campaign,Content Marketing,2.0,6.0,29.0,5.0,6.0,9.0,,1.0,No,64000.0,50000.0,Yes,0.0,3.0,No,0,Small,8.0,4.75,1882.3529411764705,0.78125
L000106,2026-02-04,IT Services,Maharashtra,107.0,Google Ads,Content Marketing,4.0,7.0,43.0,19.0,48.0,9.0,1.0,4.0,No,100000.0,120000.0,No,0.0,9.0,No,0,Medium,11.0,17.2,934.5794392523364,1.2
L000107,2026-01-29,Financial Services,Haryana,31.0,Website,Enterprise Outreach,1.0,5.0,40.0,19.0,33.0,9.0,1.0,1.0,No,63000.0,90000.0,No,0.0,,No,0,Small,6.0,11.374999999999998,2032.258064516129,1.4285714285714286
L000108,2025-10-08,Healthcare,Maharashtra,86.0,Webinar,Enterprise Outreach,2.0,7.0,38.0,12.0,21.0,10.0,1.0,2.0,No,93000.0,90000.0,Yes,1.0,,No,0,Medium,9.0,9.375,1081.3953488372092,0.967741935483871
L000109,2025-03-04,IT Services,Odisha,52.0,Website,Enterprise Outreach,3.0,5.0,24.0,8.0,,7.0,2.0,1.0,No,74000.0,105000.0,No,0.0,2.0,No,0,Medium,8.0,6.749999999999999,1423.076923076923,1.4189189189189189
L000110,2025-11-17,Professional Services,Delhi,,Webinar,Content Marketing,1.0,1.0,28.0,3.0,1.0,8.0,1.0,2.0,No,77000.0,105000.0,No,0.0,2.0,No,0,,2.0,4.5,,1.3636363636363635
L000111,2024-09-26,IT Services,Delhi,219.0,LinkedIn,Product Demo,5.0,5.0,20.0,17.0,46.0,8.0,0.0,2.0,No,223000.0,165000.0,Yes,0.0,9.0,No,0,Medium,10.0,13.599999999999998,1018.2648401826484,0.7399103139013453
L000112,2026-01-29,Manufacturing,Karnataka,16.0,Google Ads,Free Trial,4.0,6.0,46.0,12.0,30.0,8.0,3.0,3.0,Yes,54000.0,55000.0,Yes,0.0,5.0,No,1,Small,10.0,13.4,3375.0,1.0185185185185186
L000113,2025-06-24,Telecommunications,Tamil Nadu,43.0,Google Ads,Free Trial,2.0,5.0,23.0,17.0,29.0,6.0,2.0,1.0,No,65000.0,75000.0,No,0.0,10.0,No,1,Small,7.0,13.3,1511.6279069767443,1.1538461538461537
L000114,2025-03-22,IT Services,Haryana,4.0,Unknown,Content Marketing,3.0,0.0,47.0,9.0,,8.0,2.0,1.0,No,47000.0,70000.0,No,1.0,5.0,No,0,Small,3.0,8.5,11750.0,1.4893617021276595
L000115,2025-05-06,Manufacturing,Rajasthan,172.0,Email Campaign,Webinar,5.0,9.0,27.0,34.0,88.0,8.0,2.0,5.0,Yes,,135000.0,No,0.0,,No,1,Medium,14.0,28.249999999999996,,
L000116,2025-07-07,Telecommunications,Andhra Pradesh,24.0,Webinar,Content Marketing,5.0,5.0,29.0,29.0,72.0,12.0,3.0,4.0,Yes,56000.0,75000.0,Yes,0.0,16.0,Yes,1,Small,10.0,26.400000000000002,2333.3333333333335,1.3392857142857142
